title,rating,year,wins,nominations,news,reviews
Laverne & Shirley (TV Series 1976–1983),6.9,1983,1,1,8,20
Die Muppet Show (TV Series 1976–1981),8.6,1981,7,25,342,33
Quincy (TV Series 1976–1983),7.4,1983,2,3,24,35
Wonder Woman (TV Series 1975–1979),7,1979,1,3,1888,39
Novecento (1976),7.8,1976,3,3,20,92
Die 21 Stunden von München (TV Movie 1976),6.4,1976,0,1,0,15
Fahrerflucht (1979),6.8,1979,0,0,0,0
Brust oder Keule (1976),7.3,1976,1,0,0,10
Die Unbestechlichen (1976),8,1976,13,20,318,189
Ape (1976),2.2,1976,0,0,0,35
Taschengeld (1976),7.6,1976,4,2,13,33
Der Krieg ist kein Abzählspiel (1977),7.7,1977,0,0,0,1
Die Bären sind los (1976),7.3,1976,1,0,109,83
Dieses Land ist mein Land (1976),7.4,1976,5,10,51,43
Buffallo Bill und die Indianer (1976),6.1,1976,1,0,0,33
Das Landhaus der toten Seelen (1976),6.5,1976,6,0,55,114
Fellinis Casanova (1976),7.1,1976,6,3,10,28
Cassandra Crossing (1976),6.3,1976,0,0,10,62
Die Reise zum Mond (1902),8.2,1902,0,0,138,113
Dolly's Scoop (1916),,1916,0,0,0,1
Cría cuervos (1976),8,1976,8,3,20,29
Zwei außer Rand und Band (1977),7.1,1977,1,0,3,14
Unsterbliches Duell (1976),7.3,1976,0,0,0,5
Eat My Dust (1976),5.2,1976,0,0,19,12
Eraserhead (1977),7.4,1977,2,1,258,506
Love in Action (1976),6.1,1976,0,0,0,3
The First Nudie Musical (1976),5.3,1976,0,0,0,22
Zwischen zwölf und drei (1976),6.8,1976,0,0,2,30
Sag' ja zur Liebe (1976),5.1,1976,0,0,6,28
Mein Name ist Gator (1976),5.7,1976,0,0,24,24
Harlan County U.S.A. (1976),8.3,1976,3,0,10,36
Herz aus Glas (1976),7,1976,1,0,54,44
Die Unschuld (1976),7.5,1976,1,0,0,9
White Zombie (1932),6.5,1932,0,0,34,119
The Killing of a Chinese Bookie (1976),7.5,1976,0,0,59,55
Flucht ins 23. Jahrhundert (1976),6.8,1976,7,2,322,228
Der Mann\,http://www.imdb.com/title/tt0074851/,8340,video.movie,1,34,154
Yours Sincerely (1933),6.3,1933,0,0,0,3
Nickelodeon (1976),6.3,1976,0,0,51,26
Hurra\,http://www.imdb.com/title/tt0075007/,5400,video.movie,0,0,0
Die Verurteilung (1976),8.2,1976,1,1,0,2
Inspector Clouseau - Der beste Mann bei Interpol (1976),7.2,1976,2,2,17,94
Der Mann\,http://www.imdb.com/title/tt0075132/,7740,video.movie,0,13,14
Der Mörder lauert in der Sauna (1976),7.9,1976,0,2,17,24
Robin und Marian (1976),6.6,1976,0,0,43,74
Il secondo tragico Fantozzi (1976),7.8,1976,0,0,0,3
Kein Koks für Sherlock Holmes (1976),6.8,1976,2,2,33,36
Sexbombe (1933),7.4,1933,0,0,0,35
A Star Is Born (1976),6.5,1976,6,6,165,47
Mister Universum (1976),5.7,1976,0,1,34,23
Stroszek (1977),8.1,1977,2,2,31,52
Summer of Secrets (1976),5.7,1976,0,0,0,1
That's Entertainment\,http://www.imdb.com/title/tt0075323/,7980,video.movie,1,11,0
Der Umleger (1976),6.1,1976,0,0,123,83
Tredowata (1976),6.5,1976,0,0,0,2
Lethal Game - Countdown in den Tod (1976),6,1976,0,0,10,51
Aufstieg (1977),8.3,1977,4,0,0,28
Der Doktor und das liebe Vieh (TV Series 1978–1990),8.3,1990,1,2,48,19
The All-New Super Friends Hour (TV Series 1977–1978),7,1978,0,0,0,6
CHiPs (TV Series 1977–1983),6.4,1983,0,2,75,37
Jesus von Nazareth (TV Mini-Series 1977),8.8,1977,2,6,99,124
Logan's Run (TV Series 1977–1978),7.5,1978,0,0,0,21
Love Boat (TV Series 1977–1987),6,1987,4,13,271,22
Der Mann aus Atlantis (TV Series 1977–1978),6.6,1978,0,0,23,15
Roots (TV Mini-Series 1977),8.5,1977,15,35,156,61
Sneak Previews (TV Series 1975–1996),7.8,1996,0,0,0,4
Die Weltraum-Akademie (TV Series 1977–1979),7.1,1979,1,0,0,19
Sette note in nero (1977),7.1,1977,0,0,5,30
Airport '77 - Verschollen im Bermuda-Dreieck (1977),5.5,1977,0,0,11,72
Die Gangster-Akademie (1977),6,1977,0,0,0,2
Blue Nude (1977),6.4,1977,0,0,0,3
Bobby Deerfield (1977),5.9,1977,0,0,3,29
Dirty Work (1933),7.5,1933,0,0,0,16
Die Brüder Löwenherz (1977),7.2,1977,3,1,16,20
Wir hatten uns so geliebt (1974),8.1,1974,7,2,6,15
Dieses obskure Objekt der Begierde (1977),7.9,1977,12,3,32,52
Tornado (1978),4.7,1978,0,0,0,11
Die Tiefe (1977),6.1,1977,0,2,73,54
God Told Me To (1976),6.4,1976,1,1,34,48
Das Domino Komplott (1977),5.7,1977,0,0,2,26
Ein Feind des Volkes (1978),7.1,1978,0,0,26,14
Equus - Blinde Pferde (1977),7.2,1977,5,4,2,51
Exorzist II - Der Ketzer (1977),3.7,1977,0,0,53,234
Ein ganz verrückter Freitag (1976),6.3,1976,0,0,23,49
Die Gang (1977),5.8,1977,0,0,0,1
Der Mann\,http://www.imdb.com/title/tt0076070/,6540,video.movie,0,27,35
Ghatashraddha (1977),7.7,1977,1,0,0,1
Der Ladenaufseher (1916),6.8,1916,0,0,9,11
Bluff (1976),7.6,1976,1,0,15,3
Der tolle Käfer in der Rallye Monte Carlo (1977),5.4,1977,0,0,12,15
Hitler - ein Film aus Deutschland (1977),7.7,1977,2,0,4,17
Der Mann\,http://www.imdb.com/title/tt0076155/,7200,video.movie,1,8,5
Marschier oder stirb (1977),6.3,1977,0,0,4,22
Ich bin ein Autarkist (1976),6.6,1976,1,1,0,1
Die Insel des Dr. Moreau (1977),5.8,1977,0,0,6,29
Jabberwocky (1977),6.2,1977,0,0,76,54
Julia (1977),7.4,1977,21,21,7,37
Kentucky Fried Movie (1977),6.5,1977,0,0,63,107
Der letzte Dinosaurier (1977),5.8,1977,0,0,7,28
Drei Fremdenlegionäre (1977),6,1977,0,0,5,15
Blutsverwandte (1978),6.3,1978,0,0,0,13
New York\,http://www.imdb.com/title/tt0076451/,9300,video.movie,2,50,3
Die 42. Straße (1933),7.8,1933,1,0,0,89
Ein Haufen verwegener Hunde (1978),6.6,1978,0,0,30,43
Rabid - Der brüllende Tod (1977),6.4,1977,2,0,93,76
Razboiul independentei (TV Series 1977– ),7,1977,0,0,0,1
Nur Samstag Nacht (1977),6.8,1977,7,8,484,195
Going Hollywood (1933),8.3,1933,0,0,0,25
Im Netz der Gewalt (1977),7.3,1977,0,0,2,17
Schlappschuß (1977),7.4,1977,1,2,112,135
Liebe im Büro (1977),8.5,1977,0,0,0,9
Ein ausgekochtes Schlitzohr (1977),6.8,1977,0,1,202,140
Suspiria (1977),7.5,1977,0,0,529,477
Morgen gibt es kein Erwachen (1978),6.2,1978,0,0,16,6
Blakes 7 (TV Series 1978–1981),7.9,1981,0,0,17,48
Challenge of the SuperFriends (TV Series 1978– ),7.6,1978,0,0,4,11
Dallas (TV Series 1978–1991),6.9,1991,45,80,46,49
Noch Fragen Arnold? (TV Series 1978–1986),6.7,1986,2,31,381,28
Fantasy Island (TV Series 1977–1984),6.6,1984,0,9,208,16
Ganovenbraut (1933),7,1933,0,0,2,21
The Kenny Everett Video Show (TV Series 1978–1981),7.3,1981,3,6,0,3
Die Abenteuer des David Balfour (TV Mini-Series 1978),7.4,1978,0,0,0,11
Taxi (TV Series 1978–1983),7.9,1983,22,55,402,33
WKRP in Cincinnati (TV Series 1978–1982),8.2,1982,2,13,45,47
Im Reich der Leidenschaft (1978),7,1978,3,8,26,16
The Rutles (TV Movie 1978),7.4,1978,0,0,15,44
American Boy: A Profile of: Steven Prince (1978),7.4,1978,0,0,0,8
Avalanche (1978),4.1,1978,0,0,4,22
Der große Trick (1978),6.4,1978,0,0,11,11
Tote schlafen besser (1978),5.7,1978,0,0,12,44
The House on 56th Street (1933),7.5,1933,0,0,0,12
The Incredible Torture Show (1976),4.7,1976,0,0,20,146
Buck Rogers (TV Movie 1979),6.3,1979,1,1,0,29
Das verrückte California Hotel (1978),6.2,1978,7,7,43,42
Mach' weiter Emmanuelle (1978),2.7,1978,0,0,0,31
Der Schmalspurschnüffler (1978),6.5,1978,0,0,18,51
Sie kehren heim (1978),7.4,1978,14,11,676,63
Crossed Swords (1977),6.5,1977,0,0,2,24
Zombie (1978),8,1978,2,2,61,649
Skandal Mädchen (1978),5.9,1978,1,0,0,30
Dona Flor und ihre zwei Ehemänner (1976),7,1976,3,3,6,7
Driver (1978),7.2,1978,0,0,110,69
Die Nichtstuer (1978),7.2,1978,1,1,0,7
Der Mann aus San Fernando (1978),6.2,1978,1,0,58,56
Gesichter des Todes Vol. 1 (1978),3.9,1978,0,0,55,86
Finger - Zärtlich und brutal (1978),7,1978,0,0,59,20
The Foreigner (1978),5.1,1978,0,0,0,5
Bruce Lee - Mein letzter Kampf (1978),6.1,1978,0,0,157,105
Gates of Heaven (1978),7.5,1978,0,0,52,24
Der Galgenstrick (1978),6.3,1978,0,0,5,37
Der Himmel kann warten (1978),6.9,1978,8,13,130,88
Hügel der blutigen Augen (1977),6.4,1977,1,0,110,193
Um Kopf und Kragen (1978),6.2,1978,0,1,44,28
Ich spuck' auf dein Grab (1978),5.6,1978,1,0,305,322
He Did and He Didn't (1916),6.4,1916,0,0,0,8
Lady für einen Tag (1933),7.5,1933,0,0,13,28
Io sono mia (1978),7,1978,0,0,0,0
Laserkill - Todesstrahlen aus dem All (1978),2.4,1978,0,0,9,100
The Band (1978),8.2,1978,2,3,136,107
Sie nannten ihn Mücke (1978),6.6,1978,1,0,0,4
Vier Schwestern (1933),7.4,1933,3,3,17,42
Der Messias (1975),7.1,1975,0,0,0,5
Die weiße Göttin der Kannibalen (1978),5.3,1978,0,0,14,60
Ich glaub'\,http://www.imdb.com/title/tt0077975/,6540,video.movie,2,85,807
Eines Tages in Galiläa (TV Movie 1978),6.8,1978,0,0,0,2
Newsfront (1978),7.1,1978,10,8,0,10
Planet der Monster (1977),4.4,1977,1,0,0,34
Inspektor Clouseau - Der irre Flic mit dem heißen Blick (1978),6.6,1978,1,1,14,56
Die Schlange im Schatten des Adlers (1978),7.5,1978,0,0,18,33
Stunde der Bewährung (1978),7.4,1978,0,0,38,45
Der tödliche Schwarm (1978),4.3,1978,0,0,52,99
Mondo Cannibale 2 - Der Vogelmensch (1977),6.2,1977,0,0,32,49
Eine entheiratete Frau (1978),7.1,1978,11,9,100,45
Viel Rauch um nichts (1978),7,1978,0,0,94,70
The Mayor of Hell (1933),7,1933,0,0,0,24
Die Schlemmerorgie (1978),6.5,1978,2,1,2,14
Connections (TV Series 1978– ),8.4,1978,0,0,0,11
Ein Duke kommt selten allein (TV Series 1979–1985),7.1,1985,2,2,84,62
The Facts of Life (TV Series 1979–1988),6.7,1988,6,14,219,34
Hart aber herzlich (TV Series 1979–1984),6.7,1984,2,21,181,14
This Old House (TV Series 1979– ),7.9,1979,17,71,0,5
You Can't Do That on Television (TV Series 1979–1990),8.3,1990,0,0,0,44
1941 - Wo bitte geht's nach Hollywood (1979),5.9,1979,0,0,4,205
Amityville Horror (1979),6.2,1979,0,3,35,275
Liebe auf der Flucht (1979),7.1,1979,1,1,13,12
Die Rückkehr der Semmelknödelbande (1979),5.7,1979,0,0,5,9
Arrebato (1980),7.3,1980,3,3,0,8
Lawinenexpress (1979),4.7,1979,0,0,0,13
Die Brut (1979),6.9,1979,1,5,186,109
Captain America II: Death Too Soon (TV Movie 1979),3.8,1979,0,0,8,15
Christus kam nur bis Eboli (1979),7.6,1979,6,1,0,6
Dracula '79 (1979),6.4,1979,1,4,47,107
The Driller Killer (1979),4.9,1979,0,0,91,104
Elvis (TV Movie 1979),7.1,1979,0,3,0,25
Felicity - Sündige Versuchung (1978),5.4,1978,0,0,0,8
Ein Rabbi im Wilden Westen (1979),6.4,1979,0,0,10,51
Fukushû suru wa ware ni ari (1979),7.9,1979,21,6,32,28
Gol Maal (1979),8.5,1979,3,0,0,20
Der erste große Eisenbahnraub (1978),7,1978,1,1,35,47
Sechs Frauen und ein König (1933),7.3,1933,1,1,3,31
Heiße Ware (1979),6.4,1979,0,0,90,9
Hurricane (1979),4.3,1979,0,0,30,17
I wie Ikarus (1979),8.1,1979,0,0,0,18
Jack Frost (TV Movie 1979),7.3,1979,0,0,0,14
Reichtum ist keine Schande (1979),7.2,1979,0,0,96,106
Jesus (1979),7.1,1979,0,0,7,29
Die Frau in Rot (1979),6.1,1979,0,0,6,6
Liebe auf den ersten Biss (1979),6.1,1979,3,3,28,44
A Performance of Macbeth (TV Movie 1979),7.5,1979,0,0,45,19
Moskau glaubt den Tränen nicht (1979),8.3,1979,1,1,0,32
Mr. Horn (TV Movie 1979),6.8,1979,0,0,0,3
Muppet Movie (1979),7.7,1979,3,9,271,88
Königin Christine (1933),7.9,1933,0,0,19,55
Wer ist Milliardär? (1979),8.6,1979,0,0,0,6
Die Bullen von Dallas (1979),7,1979,3,0,33,39
Die Olsenbande ergibt sich nie (1979),6.8,1979,0,0,0,2
Das Böse (1979),6.9,1979,1,1,476,250
Rock 'n' Roll High School (1979),6.8,1979,0,0,27,68
The rose (1979),6.9,1979,7,5,36,47
Intolerance (1916),8,1916,1,0,40,77
Sagebrush Trail (1933),5.4,1933,0,0,2,16
Rudolph and Frosty's Christmas in July (TV Movie 1979),6.7,1979,0,0,0,12
Hardyman räumt auf (1979),7.8,1979,1,1,26,61
Un sacco bello (1980),7.3,1980,3,0,0,4
Delta III (1979),3.2,1979,0,0,4,13
Auf ein Neues (1979),6.6,1979,0,5,127,27
Suhaag (1979),6.8,1979,0,0,0,3
Skazka skazok (1979),8.1,1979,2,0,0,19
Shuffle Off to Buffalo (1933),5.6,1933,0,0,0,4
Tess (1979),7.3,1979,14,12,184,68
Tourist Trap - Die Touristenfalle (1979),6.2,1979,0,0,65,106
Woodoo (1979),6.9,1979,0,0,297,361
Kampf um die 5. Galaxis (1979),3.8,1979,0,0,2,14
The Wanderers - Terror in der Bronx (1979),7.5,1979,0,0,21,51
Die Warriors (1979),7.7,1979,0,0,269,365
Sie nannten ihn Knochenbrecher (1978),7.7,1978,0,0,97,58
Hilfe\,http://www.imdb.com/title/tt0024601/,4080,video.movie,1,18,14
Berlin Alexanderplatz (TV Mini-Series 1980),8.6,1980,5,1,37,27
The David Letterman Show (TV Series 1980– ),7.3,1980,2,3,0,8
Hollywood (TV Mini-Series 1980),8.4,1980,1,4,2,26
Not the Nine O'Clock News (TV Series 1979–1982),8.2,1982,2,5,44,14
Shogun (TV Mini-Series 1980),8.1,1980,5,13,37,41
Verstehen Sie Spaß? (TV Series 1980– ),5.6,1980,4,0,0,0
Waltzes from Vienna (1934),6.2,1934,0,0,0,13
Warum eigentlich... bringen wir den Chef nicht um? (1980),6.6,1980,3,6,117,79
Die unglaubliche Reise in einem verrückten Flugzeug (1980),7.8,1980,2,5,51,393
Der Höllentrip (1980),6.9,1980,1,4,180,124
Ein Mann für gewisse Stunden (1980),6.1,1980,0,0,204,64
Mit Vollgas nach San Fernando (1980),5.9,1980,0,0,27,41
Sador - Herrscher im Weltraum (1980),5.4,1980,1,4,76,71
White Woman (1933),6.5,1933,0,0,0,4
Berlin Chamissoplatz (1980),7,1980,1,1,0,0
Die grosse Keilerei (1980),5.8,1980,0,0,4,30
Die blaue Lagune (1980),5.6,1980,1,5,85,127
Bronco Billy (1980),6,1980,0,0,22,41
Caddyshack - Wahnsinn ohne Handicap (1980),7.4,1980,0,0,346,234
Caligula (1979),5.2,1979,0,0,120,278
Wild Boys of the Road (1933),7.5,1933,1,0,0,29
Do Aur Do Paanch (1980),7.2,1980,0,0,0,5
Der Exterminator I (1980),5.5,1980,0,0,32,77
Fame - Der Weg zum Ruhm (1980),6.5,1980,4,16,13,96
Totaler Sperrbezirk (1980),7,1980,0,0,62,88
Foutaises (1989),7.8,1989,3,0,0,3
Fred Astaire: Puttin' on His Top Hat (TV Movie 1980),7.6,1980,0,0,0,0
Ginga tetsudô Three-Nine (1979),7.6,1979,1,0,5,17
Die Götter müssen verrückt sein (1980),7.3,1980,3,1,15,137
Cash Machine (1980),5.8,1980,0,0,0,25
Sumpf der lebenden Toten (1981),2.9,1981,0,0,23,84
Bruchlandung im Paradies (1980),5.7,1980,0,0,2,7
The Lathe of Heaven (TV Movie 1980),7.3,1980,0,0,4,57
Dick & Doof - Rache ist süß (1934),7.5,1934,0,0,20,49
Rififi am Karfreitag (1980),7.7,1980,3,0,193,118
Lebendig gefressen (1980),5.2,1980,0,0,3,64
Maniac (1980),6.5,1980,0,0,410,166
Melvin und Howard (1980),7,1980,19,5,41,33
Die Schulhofratten von Chicago (1980),7,1980,1,2,34,53
Nocturne (1980),5.4,1980,0,0,0,3
Die nackte Bombe (1980),5,1980,0,0,9,27
Die schwarze Katze (1934),7.2,1934,1,0,203,123
Ein Zombie hing am Glockenseil (1980),6.3,1980,0,0,120,207
Die heidnische Madonna (1980),7.8,1980,0,0,0,3
Shaan (1980),7.2,1980,1,0,0,13
Maciste in den Alpen (1917),6.4,1917,0,0,0,1
Tschapajew (1934),7.3,1934,1,1,0,5
Zwei irre Spaßvögel (1980),6.8,1980,0,0,35,44
Der lange Tod des Stuntmans Cameron (1980),7.3,1980,5,7,104,80
Monster im Nacht-Express (1980),5.8,1980,0,0,116,113
Time Bandits (1981),7,1981,1,8,249,163
Terra e... (1980),6.7,1980,0,0,0,2
Der Lügner (1981),7.1,1981,1,0,0,2
Windwalker - Das Vermächtnis des Indianers (1980),7.1,1980,1,0,0,18
Xie (1980),6.6,1980,0,0,0,3
Darkroom (TV Series 1981–1982),7.1,1982,0,0,0,7
Ein Colt für alle Fälle (TV Series 1981–1986),7.1,1986,1,0,89,13
Per Anhalter durch die Galaxis (TV Series 1981– ),8,1981,5,0,7,77
The Pee-wee Herman Show (TV Movie 1981),8.1,1981,0,0,0,12
Simon und Simon (TV Series 1981–1995),7.2,1995,0,4,0,21
Die Sensationsreporterin (1981),6.9,1981,4,4,16,67
Arthur: Kein Kind von Traurigkeit (1981),6.9,1981,10,5,505,108
Blow out - Der Tod löscht alle Spuren (1981),7.3,1981,1,1,0,134
Die Stunde des Siegers (1981),7.3,1981,17,16,391,201
Chashme Buddoor (1981),7.9,1981,0,0,0,15
La chèvre (1981),7.4,1981,0,0,0,18
Kampf der Titanen (1981),6.9,1981,2,5,6,175
Bis zum bitteren Ende (1981),6.9,1981,2,1,20,47
Der Mann ohne Gnade - Death Wish II (1982),5.9,1982,0,0,44,106
Diva (1981),7.4,1981,9,6,13,78
Das Duell (1981),7.6,1981,0,0,0,2
Die Frau nebenan (1981),7.4,1981,1,4,4,15
Freitag\,http://www.imdb.com/title/tt0082418/,5220,video.movie,0,20,170
Die große Muppet Party (1981),7.3,1981,0,1,141,40
Ab in die Ewigkeit (1981),6,1981,0,0,116,107
Heavy Metal (1981),6.7,1981,3,1,503,140
Die Legende vom einsamen Ranger (1981),5,1981,3,2,31,38
Die Rache der Kannibalen (1981),5.2,1981,0,0,57,135
Hollywood Party (1934),6.3,1934,0,0,0,22
Die tolldreisten Streiche des Marchese del Grillo (1981),7.7,1981,8,2,0,3
Mil gritos tiene la noche (1982),6,1982,0,0,39,138
Modern Romance - Muß denn Liebe Alptraum Sein? (1981),6.9,1981,0,0,20,22
Meine liebe Rabenmutter (1981),6.6,1981,8,7,205,149
Mein Essen mit André (1981),7.7,1981,2,0,165,108
Die verrückten Nachbarn (1981),5.5,1981,0,0,20,75
Imitation of Life (1934),7.6,1934,1,0,8,54
Eine Faust geht nach Westen (1981),6.6,1981,1,0,0,7
Patrimonio nacional (1981),7,1981,2,1,0,1
Tanz in den Wolken (1981),6.5,1981,6,3,61,53
Polyester (1981),7,1981,0,0,50,39
An der Nordbrücke (1981),7.3,1981,0,0,0,3
Possession (1981),7.3,1981,5,2,73,105
Prince of the City - Die Herren der Stadt (1981),7.6,1981,11,6,69,48
Das Haus an der Friedhofsmauer (1981),6.3,1981,0,0,51,146
Reds - Ein Mann kämpft für Gerechtigkeit (1981),7.5,1981,32,21,149,120
S.O.B. - Hollywoods letzter Heuler (1981),6.4,1981,1,3,42,50
Sharky und seine Profis (1981),6.3,1981,0,0,2,56
Shock Treatment (1981),5.8,1981,0,0,28,103
Ich glaub' mich knutscht ein Elch! (1981),6.9,1981,0,0,267,121
Was macht der Tote auf der Wäscheleine? (1981),5.7,1981,0,0,0,96
The Territory (1981),6.6,1981,0,0,0,1
Der Einzelgänger (1981),7.4,1981,0,0,140,96
Fesseln der Macht (1981),6.4,1981,3,1,32,56
Geheimauftrag Hollywood (1981),5.3,1981,0,0,20,32
Victor Sjöström: Ett porträtt (1981),7,1981,0,0,0,2
The Three Godfathers (1916),7.2,1916,0,0,0,0
Flucht oder Sieg (1981),6.6,1981,0,0,75,88
Wie de Waarheid Zegt Moet Dood (1981),7.1,1981,0,0,0,3
Cagney & Lacey (TV Series 1981–1988),6.7,1988,35,56,0,13
Cheers (TV Series 1982–1993),7.9,1993,71,175,1063,97
Der Missionar (1982),6.2,1982,0,0,5,20
Der vermißte Spähtrupp (1934),7,1934,1,0,5,42
The Powers of Matthew Star (TV Series 1982–1983),6.7,1983,0,0,0,14
Scooby-Doo and Scrappy-Doo (TV Series 1979–1983),6,1983,0,0,0,19
Silver Spoons (TV Series 1982–1987),6,1987,4,10,91,10
T.J. Hooker (TV Series 1982–1986),5.9,1986,0,0,77,15
Die unglaubliche Reise in einem verrückten Raumschiff (1982),6,1982,0,0,21,115
Meine Freunde (1982),7.7,1982,0,0,0,4
Der Android (1982),5.9,1982,0,0,27,30
Annie (1982),6.4,1982,2,10,280,107
Die grünen Teufel vom Mekong (1982),5.5,1982,0,0,3,9
American Playhouse Die Ballade von Gregorio Cortez (TV Episode 1982),6.8,1982,0,0,0,4
Basket Case - Der unheimliche Zwilling (1982),6.1,1982,0,0,206,118
Zwei dicke Freunde (1982),5.3,1982,0,1,414,15
Das schönste Freudenhaus in Texas (1982),5.7,1982,0,2,78,41
Der Bomber (1982),6.2,1982,0,0,0,6
Die Männer von Aran (1934),7.6,1934,3,0,14,19
Die Last der Träume (1982),8,1982,1,1,58,19
Bud\,http://www.imdb.com/title/tt0083715/,5640,video.movie,0,6,3
Katzenmenschen (1982),6,1982,0,1,131,101
Chambre 666 (TV Movie 1982),6.4,1982,0,0,0,4
Chispita y sus gorilas (1982),4.4,1982,0,0,0,0
Nur keine Panik (1982),7.4,1982,0,0,0,0
Tote tragen keine Karos (1982),6.8,1982,0,0,36,102
Dear Mr. Wonderful (1982),5.4,1982,1,0,0,5
Das Mörderspiel (1982),7,1982,0,0,26,47
Desh Premee (1982),6.1,1982,0,0,0,3
American Diner (1982),7.2,1982,6,2,167,85
Men in Black (1934),7.6,1934,0,0,55,24
Und wieder ist Freitag der 13 (1982),5.6,1982,0,0,128,353
The Great Cognito (1982),6.4,1982,0,0,0,2
Der Geisterflieger (1982),5.4,1982,0,0,25,21
Labyrinth der Leidenschaften (1982),6.4,1982,0,0,10,8
Der verhängnisvolle Brief (TV Movie 1982),6.7,1982,3,2,0,3
Macbeth (TV Movie 1983),6.7,1983,0,0,5,14
Snowy River (1982),7.2,1982,2,2,16,52
Vermisst (1982),7.8,1982,10,16,5,83
Die Legion der Verdammten (1982),7.4,1982,2,5,0,7
Ein Draufgänger in New York (1982),7.4,1982,5,4,98,73
Ein Offizier und Gentleman (1982),6.9,1982,7,13,146,114
Passion (1982),6.5,1982,1,4,18,19
Die Hunde sind los (1982),7.9,1982,0,0,15,66
Porky's (1982),6.1,1982,1,1,49,139
Der Zufall - möglicherweise (1987),8,1987,2,0,0,23
Da graust sich ja der Weihnachtsmann (1982),7.7,1982,0,0,0,18
Die Wiederkehr des Martin Guerre (1982),7.4,1982,7,2,2,27
Sans Soleil - Unsichtbare Sonne (1983),8.1,1983,2,0,47,29
The Snowman (1982),8.2,1982,2,1,38,75
Sophies Entscheidung (1982),7.7,1982,12,11,291,129
Stacy's Knights (1983),4.6,1983,0,0,7,4
Das Ding aus dem Sumpf (1982),5.4,1982,0,0,788,66
Of Human Bondage (1934),7.3,1934,0,0,38,75
Tenebre - Der kalte Hauch des Todes (1982),7.2,1982,0,0,94,137
Time Walker (1982),2.8,1982,0,0,3,40
Der Spielgefährte (1982),5.7,1982,1,0,14,32
Der rosarote Panther wird gejagt (1982),4.9,1982,0,0,10,58
Victor/Victoria (1982),7.5,1982,12,13,34,96
Vincent (1982),8.5,1982,1,0,0,75
Cleopatra (1917),5.9,1917,0,0,0,2
Operator 13 (1934),8.2,1934,0,0,0,13
Die weiße Bestie (1982),7.2,1982,0,0,42,88
Küss mich\,http://www.imdb.com/title/tt0084938/,5760,video.movie,0,5,3
Das A-Team (TV Series 1983–1987),7.6,1987,2,1,507,96
Alvin & the Chipmunks (TV Series 1983–1990),6.9,1990,0,0,17,18
Automan (TV Series 1983–1984),6.9,1984,0,0,2,19
The Black Adder (TV Series 1983),8.3,1983,0,0,26,55
Hardcastle & McCormick (TV Series 1983–1986),6.5,1986,0,0,8,12
Inspektor Gadget (TV Series 1983–1986),6.8,1986,0,0,8,32
Terrahawks (TV Series 1983–1986),7.6,1986,0,0,7,11
Webster (TV Series 1983–1989),5.4,1989,2,9,55,2
2019 - Dopo la caduta di New York (1983),5.6,1983,0,0,7,30
Der Superfighter (1983),7.5,1983,1,3,27,57
Die große Zarin (1934),7.8,1934,1,0,25,31
Ator - Herr des Feuers (1982),2.8,1982,0,0,0,33
Bianca (1984),7.5,1984,0,0,0,5
Der schwarze Hengst kehrt zurück (1983),5.9,1983,0,0,0,12
Class - Vom Klassenzimmer zur Klassefrau (1983),5.8,1983,0,0,47,31
Tarzans Vergeltung (1934),7.7,1934,1,0,13,46
Cujo (1983),5.9,1983,1,3,171,126
Dead Zone - Der Attentäter (1983),7.3,1983,7,4,230,168
Das Bombengeschäft (1983),4.4,1983,0,0,2,26
Das Kloster zum heiligen Wahnsinn (1983),6.6,1983,1,1,9,18
Faces of Death II (1981),3.1,1981,0,0,0,12
Flashdance (1983),6,1983,10,14,269,117
Zwei bärenstarke Typen (1983),7.1,1983,0,0,251,16
Going Back (1984),7.2,1984,0,0,2,4
Hercules (1983),3.5,1983,2,3,0,35
Höllenjagd bis ans Ende der Welt (1983),5.9,1983,0,0,6,54
The House on Sorority Row (1983),6,1983,0,0,36,67
Liquid Sky (1982),6.1,1982,7,0,18,69
Der Außenseiter (1983),6.2,1983,0,0,0,7
James Bond 007 - Sag niemals nie (1983),6.2,1983,1,2,233,195
Das Osterman-Weekend (1983),5.9,1983,2,0,79,51
Papy fait de la résistance (1983),6.8,1983,0,0,0,7
The Pirates of Penzance (1983),7.2,1983,0,1,31,50
Psycho II (1983),6.4,1983,0,0,106,168
Lockere Geschäfte (1983),6.8,1983,0,2,821,145
Lustige Burschen (1934),7.2,1934,0,0,4,6
Seeing Red (1983),7.8,1983,0,1,0,3
Das ausgekochte Schlitzohr 3 (1983),3.2,1983,0,0,0,64
Der rasende Gockel (1983),4.5,1983,1,4,13,16
Superman III - Der stählerne Blitz (1983),4.9,1983,1,5,195,206
Comeback der Liebe (1983),7.5,1983,10,10,144,63
Die tausendjährige Biene (1983),7.9,1983,1,1,0,2
Unheimliche Schattenlichter (1983),6.5,1983,3,6,201,115
Die Heilquelle (1917),7.3,1917,0,0,0,18
Die verwegenen Sieben (1983),6.3,1983,0,0,30,41
Valley Girl - Das Mädchen und der heiße Typ (1983),6.3,1983,0,0,151,72
Der vierte Mann (1983),7.3,1983,4,2,23,43
Auf Liebe und Tod (1983),7.3,1983,0,2,3,19
Diebe der Nacht (1984),6.6,1984,0,0,0,1
